Size of N for NxN,Time,Parallelization,Location,mpi_size
10,0.0009677410125732422,True,PC,4
100,0.22540998458862305,True,PC,4
250,3.305211067199707,True,PC,4
500,27.86357021331787,True,PC,4
750,93.61351323127747,True,PC,4
10,0.0010814666748046875,False,PC,1
100,0.8993914127349854,False,PC,1
250,14.036945343017578,False,PC,1
500,112.78405594825745,False,PC,1
750,369.9748795032501,False,PC,1
10,0.002438783645629883,True,Colab,1
100,0.9785745143890381,True,Colab,1
250,16.272568464279175,True,Colab,1
500,136.1874988079071,True,Colab,1
750,457.5021553039551,True,Colab,1
10,0.0011150836944580078,False,Colab,1
100,1.29119873046875,False,Colab,1
250,16.883007764816284,False,Colab,1
500,132.8327190876007,False,Colab,1
750,457.6425623893738,False,Colab,1
10,0.0273287296295166,True,Cloudlab,8
100,0.10692954063415527,True,Cloudlab,8
250,1.6582026481628418,True,Cloudlab,8
500,13.432053327560425,True,Cloudlab,8
750,45.96901226043701,True,Cloudlab,8
10,0.0012538433074951172,False,Cloudlab,1
100,0.8401048183441162,False,Cloudlab,1
250,13.055762529373169,False,Cloudlab,1
500,108.84905529022217,False,Cloudlab,1
750,367.4142816066742,False,Cloudlab,1
